WorldGross,ForeignGross
12.33,0.25
1.1,0.57
1.52,1.17
4.86,2.67
7.45,0.24
1.97,0.49
9.32,1.4
4.63,3.45
10.91,0.36
12.34,4.02
38.99,17.6
9.81,0.01
16.72,4.41
10.1,2.05
6.37,5.4
8.56,5.3
4.88,0.44
9.98,2.52
5.178,0.82
12.2,7.57
51.55,5.94
2.4,0.1
11.77,0.23
13.79,6.4
22.99,6.86
17,10.31
6.38,0.03
7.45,0.44
9.479,7.67
11.21,0.29
4.677,1.11
17.93,10.06
25.42,0.38
19.2,5.4
15.14,3.07
24.86,3.26
40.17,25.1
15.39,10.93
23.95,10.84
48.8,27.5
18.41,4.62
20.58,2.26
78.32,44.71
12.1,7.01
39.89,20.34
24.72,4.56
15.48,3.94
3.13,1.4
9.45,7.02
38.31,6.61
28.93,18.21
29.37,5.02
40.86,8.63
22.21,11.2
53.99,34.32
26.82,14.01
68.77,19.34
121.76,83.7
14.89,5.44
41.3,9.93
35.63,22.21
27.43,10.5
36.34,28.33
8.88,0.68
38.5,17.2
9.71,2.92
27.26,19.01
16.4,7.2
93.95,50
59.42,20.9
47.66,16.14
16,6.95
56.38,31.26
38.09,22.5
57.72,20.79
16.55,7.66
20.971,6.23
50.65,38.85
17.28,5.05
50.37,0.49
13.15,0.17
15.82,1.02
17.63,1.34
28.26,11.88
31.08,10.81
22.73,5.3
64.16,3.67
23.06,9.4
18.6,1.37
139.79,77.81
9.327,0.8
42.49,27.19
94.878,59.83
71.58,19.73
39.23,25.36
147.41,100.95
18.76,10.35
173.42,72.96
69.72,21.25
69.79,32.99
100.08,22.85
60.05,40.6
75.11,64.13
68.27,32.91
12.08,10.36
197.69,132.5
81.12,37.81
52.829,28.75
112.23,50.49
53.374,43.03
30.75,11.22
36.236,18.61
31.15,15.41
62.35,19.02
62.44,45.14
41.86,4.73
18.01,11.79
16,3.59
174.82,74.58
48.33,36.28
86.66,39.12
28.19,14.93
27.12,7.63
32.59,15.38
76.07,57.86
19.649,4.37
89.79,53.4
48.188,17.03
71.24,45.36
219.85,103.25
46.22,27.6
27.63,19.51
33.15,6.46
33.38,18.28
150.41,86.4
284.14,211.06
45.74,12.7
46.46,25.46
29.38,5.79
29.51,3.97
30.82,20.59
26.41,5.74
60.1,34.7
31.33,1.2
48.23,21.6
260.5,171.2
24.26,21.93
61.59,23.47
185.769,111.905
49.69,16.83
43.65,1.21
31.43,5.77
27.66,4.13
86.855,13.83
51.07,21.95
130.48,103.37
48.85,17.04
57.88,32.68
75.94,40.02
19.42,4.4
78.14,37.57
84.79,51.71
78.31,49.17
78.46,38.38
98.16,51.1
196.39,114.11
7.874,1.2
42.05,24.25
30.37,6.24
46.22,28.6
112.49,68.9
60.22,44.68
7.37,5.18
40.35,23.2
27.07,13.71
41,22.7
20.528,0.31
205.37,132.26
27.46,21.76
55.247,23.4
20.722,18.69
27.67,7.45
16.62,3.83
18.01,0
34.941,4.5
21.16,11.14
113.19,78.5
9.92,2.45
35.46,8.94
22.75,22.75
185.3,77.7
31.36,11.2
215.28,152.13
4.309,0.28
93.51,49.51
10.83,0.03
40.55,3.49
303.03,237.6
75.45,38.37
33.37,14.43
70.02,16.41
88.3,50.79
85.28,55.7
36.99,12.95
35.626,12.39
26.96,2.96
60.039,29.03
150.16,84.71
52.66,23.97
105.64,63.45
90.57,59.4
30.43,16.42
60.97,24.3
30.58,19.4
122.43,83.86
30.67,5.05
111.23,41
108.3,64.05
34.267,31.03
31.2,2.13
95.7,48.69
62.77,37.64
86.95,36.07
119,52.34
198.47,139.59
32.003,6.3
72.11,49.58
40.14,21.26
321.669,216.4
93.49,48.82
48.41,16.67
325.33,187.43
89.519,50.08
22.83,7.33
245.53,165.8
44.35,0.26
90.84,35.4
43.27,14.77
83.757,50.12
75.68,39.36
336.365,245.61
116.47,78.95
142.08,88.82
11.84,2.33
169.33,71.51
54.3,41
170.431,51.21
115.1,75.7
32.608,6.69
60.18,21.14
302.1,152.26
34.82,20.63
140.073,84.4
17.16,1.12
32.4,13.95
64.83,34.73
105.2,59.2
149.04,90.18
42.1,10.65
17.56,6.51
175.61,77.1
24.64,0.24
162.84,91.64
132.27,111.9
167.802,86.24
177.236,100.02
107.14,51.14
64.571,14.28
53.91,25.07
21.569,0.03
63.22,48.21
245.72,122.25
10.02,8.39
54.82,10.48
258.02,117.9
82.97,35.58
55.588,10.71
35.3,15.94
372,246.7
35.39,0.33
75.01,17
243.84,183.32
169.04,112.7
149.68,75.52
41.76,8.45
227.82,129.04
285.1,173.38
263.43,128.62
287.59,160.96
134.743,82.27
135.56,96.93
58.23,48.13
77.71,50.9
160.39,84.4
68.37,47.39
166.17,101.24
157.107,62.27
128.11,27.64
31.55,15.35
69.31,25.51
41.63,16.78
39.67,16.48
36.08,13.12
35.08,23.18
305.27,221.6
50.91,17.46
122.23,84.74
152.92,74.88
102.22,46.97
163.73,43.59
113.02,77.28
53.68,16.28
309.98,195.93
372.23,302.13
124.58,49.3
228.74,112.94
41.62,22.4
333.93,206.42
62.68,43.36
81.49,46.2
188.07,77.56
282.57,199.54
419.67,278.04
84.38,43.23
23.21,10.1
63.37,31.2
306.94,203.53
237.382,194.6
89.16,51.5
169.85,89.49
63.78,23.52
59.56,30.76
106.38,39.21
127.77,90.98
319.713,187.94
10.7,0.14
214.1,117
36.439,9.28
21.46,13.89
69.05,11.31
131.94,56.33
411,309.2
27.21,15.24
381.5,183.2
186.07,66.01
110.2,34.6
44.089,17.5
276.14,162.94
353.62,207.22
77.477,39.99
77.49,46.8
66.49,24.41
44.36,7.52
199.85,131.29
289.05,157.13
68.93,56.11
178.07,76.63
33.39,25.59
44.65,5.39
123.05,92
261.927,185.51
67.45,46.3
135.46,59.8
20.42,17.97
591.794,390.97
91.257,30.29
45.64,14.46
91.4,20.2
160.11,97.79
91.63,66.8
45.85,18.96
493.31,258.4
161.03,62.1
46.09,20.08
83.16,38.1
132.56,80.79
127.98,75.9
233.09,153.73
396.59,241.26
49.05,6.31
35.09,29.79
112.46,52.44
82.09,54
400.062,228
75.5,35.94
35.49,14.08
59.19,24.17
90.25,63.3
3.57,0.07
34.56,25.52
113.24,70.49
226.5,137.73
286.17,197.06
126.48,53.08
47.74,21.81
145.71,27.11
19.15,13.3
72.01,36.4
120.081,44.457
48.12,19.57
84.61,47.3
97.14,58.96
243.03,118.13
85.42,44.73
